b = 561491105707, a = 234, e = 12, n = 1284717778837
b = 628067514132, a = 235, e = 12, n = 1284717778837
b = 13150416446, a = 236, e = 12, n = 1284717778837
b = 406915593808, a = 237, e = 12, n = 1284717778837
b = 372267509403, a = 238, e = 12, n = 1284717778837
b = 198666637194, a = 239, e = 12, n = 1284717778837
b = 1261049545422, a = 240, e = 12, n = 1284717778837
b = 649619647101, a = 241, e = 12, n = 1284717778837
b = 1111957868137, a = 242, e = 12, n = 1284717778837
b = 1192574069145, a = 243, e = 12, n = 1284717778837
b = 651118056314, a = 243, e = 60, n = 1284717778837
b = 504158305040, a = 244, e = 60, n = 1284717778837
b = 1120669042202, a = 245, e = 60, n = 1284717778837
b = 432947686720, a = 246, e = 60, n = 1284717778837
b = 531692576999, a = 247, e = 60, n = 1284717778837
b = 877526760653, a = 248, e = 60, n = 1284717778837
b = 23295564415, a = 249, e = 60, n = 1284717778837
b = 287170206414, a = 250, e = 60, n = 1284717778837
b = 910399758269, a = 251, e = 60, n = 1284717778837
b = 334964366986, a = 252, e = 60, n = 1284717778837
b = 666240907739, a = 253, e = 60, n = 1284717778837
b = 641629055421, a = 254, e = 60, n = 1284717778837
b = 852071952206, a = 255, e = 60, n = 1284717778837
b = 1203513181952, a = 256, e = 60, n = 1284717778837
b = 1190797378905, a = 257, e = 60, n = 1284717778837
b = 668344513802, a = 258, e = 60, n = 1284717778837
b = 1108347687913, a = 259, e = 60, n = 1284717778837
b = 620510068669, a = 260, e = 60, n = 1284717778837
b = 61466696022, a = 261, e = 60, n = 1284717778837
b = 212493002202, a = 262, e = 60, n = 1284717778837
b = 360302603970, a = 263, e = 60, n = 1284717778837
b = 1214604082624, a = 264, e = 60, n = 1284717778837
b = 1110915115498, a = 265, e = 60, n = 1284717778837
b = 500341531539, a = 266, e = 60, n = 1284717778837
b = 1120485346715, a = 267, e = 60, n = 1284717778837
b = 805164080650, a = 268, e = 60, n = 1284717778837
b = 663704876207, a = 269, e = 60, n = 1284717778837
b = 1005572332936, a = 270, e = 60, n = 1284717778837
b = 549542421088, a = 271, e = 60, n = 1284717778837
b = 367438325794, a = 272, e = 60, n = 1284717778837
b = 1261340664794, a = 273, e = 60, n = 1284717778837
b = 181390506480, a = 274, e = 60, n = 1284717778837
b = 292793649582, a = 275, e = 60, n = 1284717778837
b = 786076821083, a = 276, e = 60, n = 1284717778837
b = 678214823799, a = 277, e = 60, n = 1284717778837
b = 881761189176, a = 278, e = 60, n = 1284717778837
b = 1020481305541, a = 279, e = 60, n = 1284717778837
b = 1263093921256, a = 280, e = 60, n = 1284717778837
b = 478195456896, a = 281, e = 60, n = 1284717778837
b = 204781555459, a = 282, e = 60, n = 1284717778837
b = 479964651726, a = 283, e = 60, n = 1284717778837
b = 91864257550, a = 284, e = 60, n = 1284717778837
b = 326239498220, a = 285, e = 60, n = 1284717778837
b = 17856367439, a = 286, e = 60, n = 1284717778837
b = 319475440265, a = 287, e = 60, n = 1284717778837
b = 1125493535017, a = 288, e = 60, n = 1284717778837
b = 445217340805, a = 289, e = 60, n = 1284717778837
b = 425181835604, a = 290, e = 60, n = 1284717778837
b = 751592295768, a = 291, e = 60, n = 1284717778837
b = 707968828248, a = 292, e = 60, n = 1284717778837
b = 651261841874, a = 293, e = 60, n = 1284717778837
b = 1193750919485, a = 294, e = 60, n = 1284717778837
b = 527113213211, a = 295, e = 60, n = 1284717778837
b = 925631630662, a = 296, e = 60, n = 1284717778837
b = 786545428860, a = 297, e = 60, n = 1284717778837
b = 1128278358495, a = 298, e = 60, n = 1284717778837
b = 151623103749, a = 299, e = 60, n = 1284717778837
b = 681508307726, a = 300, e = 60, n = 1284717778837
b = 1075180770431, a = 301, e = 60, n = 1284717778837
b = 1013331717947, a = 302, e = 60, n = 1284717778837
b = 990563438898, a = 303, e = 60, n = 1284717778837
b = 829746196422, a = 304, e = 60, n = 1284717778837
b = 342562630024, a = 305, e = 60, n = 1284717778837
b = 1239645011548, a = 306, e = 60, n = 1284717778837
b = 856596895676, a = 307, e = 60, n = 1284717778837
b = 169735707062, a = 308, e = 60, n = 1284717778837
b = 1161589240706, a = 309, e = 60, n = 1284717778837
b = 375734983464, a = 310, e = 60, n = 1284717778837
b = 1067649277604, a = 311, e = 60, n = 1284717778837
b = 19176600089, a = 312, e = 60, n = 1284717778837
b = 625842160175, a = 313, e = 60, n = 1284717778837
b = 819430072225, a = 314, e = 60, n = 1284717778837
b = 526954687505, a = 315, e = 60, n = 1284717778837
b = 1084373933493, a = 316, e = 60, n = 1284717778837
b = 785084041615, a = 317, e = 60, n = 1284717778837
b = 616703817732, a = 318, e = 60, n = 1284717778837
b = 1258479550539, a = 319, e = 60, n = 1284717778837
b = 613489884611, a = 320, e = 60, n = 1284717778837
b = 565581092185, a = 321, e = 60, n = 1284717778837
b = 314318021363, a = 322, e = 60, n = 1284717778837
b = 1107931853939, a = 323, e = 60, n = 1284717778837
b = 1107931853939, a = 323, e = 60, n = 1284717778837
b = 349902344262, a = 324, e = 60, n = 1284717778837
b = 813855725964, a = 325, e = 60, n = 1284717778837
b = 97445274791, a = 326, e = 60, n = 1284717778837
b = 663476883069, a = 327, e = 60, n = 1284717778837
b = 814558672490, a = 328, e = 60, n = 1284717778837
b = 563286884742, a = 329, e = 60, n = 1284717778837
b = 568092437895, a = 330, e = 60, n = 1284717778837
b = 1088950347944, a = 331, e = 60, n = 1284717778837
b = 887854683152, a = 332, e = 60, n = 1284717778837
b = 957335188450, a = 333, e = 60, n = 1284717778837
b = 59714797998, a = 334, e = 60, n = 1284717778837
b = 1025931432653, a = 335, e = 60, n = 1284717778837
b = 620106937699, a = 336, e = 60, n = 1284717778837
b = 726552450395, a = 337, e = 60, n = 1284717778837
b = 445590213122, a = 338, e = 60, n = 1284717778837
b = 575589234502, a = 339, e = 60, n = 1284717778837
b = 640006391307, a = 340, e = 60, n = 1284717778837
b = 930239877, a = 341, e = 60, n = 1284717778837
b = 798538738065, a = 342, e = 60, n = 1284717778837
b = 658880259850, a = 343, e = 60, n = 1284717778837
b = 634785146192, a = 344, e = 60, n = 1284717778837
b = 347224901595, a = 345, e = 60, n = 1284717778837
b = 269820604748, a = 346, e = 60, n = 1284717778837
b = 917914169636, a = 347, e = 60, n = 1284717778837
b = 862419494950, a = 348, e = 60, n = 1284717778837
b = 525917984843, a = 349, e = 60, n = 1284717778837
b = 774427244065, a = 350, e = 60, n = 1284717778837
b = 1087319138794, a = 351, e = 60, n = 1284717778837
b = 1118069244246, a = 352, e = 60, n = 1284717778837
b = 821531713708, a = 353, e = 60, n = 1284717778837
b = 104449810202, a = 354, e = 60, n = 1284717778837
b = 279885418303, a = 355, e = 60, n = 1284717778837
b = 344445749417, a = 356, e = 60, n = 1284717778837
b = 240883484342, a = 357, e = 60, n = 1284717778837
b = 779497965027, a = 358, e = 60, n = 1284717778837
b = 890683600578, a = 359, e = 60, n = 1284717778837
b = 1139367403506, a = 360, e = 60, n = 1284717778837
b = 186773208452, a = 361, e = 60, n = 1284717778837
b = 103791636407, a = 362, e = 60, n = 1284717778837
